date	total_num_addresses
2021-09-27	894905
2021-09-26	720222
2021-09-25	720157
2021-09-24	979201
2021-09-23	915784
2021-09-22	916099
2021-09-21	856395
2021-09-20	1021826
2021-09-19	727219
2021-09-18	834528
2021-09-17	951976
2021-09-16	1039227
2021-09-15	984065
2021-09-14	952672
2021-09-13	929205
2021-09-12	714327
2021-09-11	858711
2021-09-10	909854
2021-09-09	942426
2021-09-08	913342
2021-09-07	942065
2021-09-06	975521
2021-09-05	741843
2021-09-04	799676
2021-09-03	1032028
2021-09-02	1027555
2021-09-01	970432
2021-08-31	935955
2021-08-30	919072
2021-08-29	683619
2021-08-28	756327
2021-08-27	864268
2021-08-26	846598
2021-08-25	869269
2021-08-24	955195
2021-08-23	981745
2021-08-22	723240
2021-08-21	804867
2021-08-20	986387
2021-08-19	895377
2021-08-18	881951
2021-08-17	969682
2021-08-16	965998
2021-08-15	766285
2021-08-14	728140
2021-08-13	937232
2021-08-12	849471
2021-08-11	873969
2021-08-10	895480
2021-08-09	929034
2021-08-08	730498
2021-08-07	747230
2021-08-06	905784
2021-08-05	853896
2021-08-04	852595
2021-08-03	830521
2021-08-02	915849
2021-08-01	687296
2021-07-31	739461
2021-07-30	856797
2021-07-29	890174
2021-07-28	864677
2021-07-27	920476
2021-07-26	944619
2021-07-25	655409
2021-07-24	726848
2021-07-23	802628
2021-07-22	808746
2021-07-21	817021
2021-07-20	829637
2021-07-19	851082
2021-07-18	645619
2021-07-17	650785
2021-07-16	772846
2021-07-15	838706
2021-07-14	827355
2021-07-13	819404
2021-07-12	827843
2021-07-11	719771
2021-07-10	708313
2021-07-09	850023
2021-07-08	808253
2021-07-07	817306
2021-07-06	844029
2021-07-05	927307
2021-07-04	853740
2021-07-03	1025373
2021-07-02	811147
2021-07-01	832632
2021-06-30	776819
2021-06-29	802064
2021-06-28	789301
2021-06-27	507420
2021-06-26	721267
2021-06-25	867884
2021-06-24	861032
2021-06-23	855569
2021-06-22	776294
2021-06-21	827011
2021-06-20	656232
2021-06-19	699556
2021-06-18	824328
2021-06-17	873122
2021-06-16	956251
2021-06-15	988538
2021-06-14	954988
2021-06-13	806068
2021-06-12	1013404
2021-06-11	889352
2021-06-10	945059
2021-06-09	820199
2021-06-08	1008748
2021-06-07	912797
2021-06-06	724487
2021-06-05	779545
2021-06-04	921892
2021-06-03	1021654
2021-06-02	1088205
2021-06-01	921569
2021-05-31	983731
2021-05-30	997986
2021-05-29	873487
2021-05-28	971076
2021-05-27	865305
2021-05-26	942875
2021-05-25	975706
2021-05-24	974827
2021-05-23	966136
2021-05-22	920089
2021-05-21	950130
2021-05-20	945687
2021-05-19	1027970
2021-05-18	857995
2021-05-17	965712
2021-05-16	979399
2021-05-15	963546
2021-05-14	1072614
2021-05-13	1192796
2021-05-12	1266735
2021-05-11	1250432
2021-05-10	1317509
2021-05-09	1241582
2021-05-08	1177648
2021-05-07	1195688
2021-05-06	1242448
2021-05-05	1216037
2021-05-04	1295533
2021-05-03	1271242
2021-05-02	1248561
2021-05-01	1051913
2021-04-30	1119846
2021-04-29	997879
2021-04-28	1121374
2021-04-27	1097458
2021-04-26	948650
2021-04-25	1033232
2021-04-24	1129982
2021-04-23	1121883
2021-04-22	1124380
2021-04-21	925510
2021-04-20	1126096
2021-04-19	890831
2021-04-18	1052011
2021-04-17	842490
2021-04-16	938241
2021-04-15	1368446
2021-04-14	1155927
2021-04-13	1178675
2021-04-12	1131851
2021-04-11	1056340
2021-04-10	1167266
